"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000173372",55.8510944873362,2.57467491005267,0.25433691742306,10.1230876592327,4.36426293915234e-24,2.88576328150789e-22
"ENSG00000163016",315.095250030496,4.98454770793467,0.209295148154233,23.8158779689507,2.28694233665515e-125,7.0316616025136e-121
"ENSG00000248871",13.9863932369845,-2.49922414370204,0.587489522529155,-4.25407440960449,2.09915494354913e-05,0.000145333747014873
"ENSG00000164683",10.5384466931462,-3.62778763611256,0.372328649874705,-9.74350922856294,1.96643813118474e-22,1.09731530343988e-20
"ENSG00000276386",61.1438232282173,-3.46565594936344,0.235222327631005,-14.7335330972493,3.92630431899396e-49,1.27075872522218e-46
"ENSG00000211653",74.4585665630139,2.37278999310336,0.29625056290315,8.00940247961342,1.15267098720928e-15,3.32157215030213e-14
"ENSG00000233030",1838.37618831526,2.06883509712696,0.1554943619178,13.304888174792,2.16817274593288e-40,4.21929160881002e-38
"ENSG00000223387",182.945881607702,3.10367122459145,0.216098939778576,14.3622695593583,8.92556353113258e-47,2.56480655973583e-44
"ENSG00000264932",2.19979199011028,2.97669918615517,1.06116900286807,2.80511320827305,0.00502989100559528,0.0193494328413968
"ENSG00000168658",33.282856319824,5.85698292263946,0.362479256129491,16.158118909147,9.95533888454087e-59,5.46601436933889e-56
"ENSG00000152766",1132.23120091722,3.59169333107238,0.186889199447109,19.2183033674391,2.60137867323585e-82,7.99845900659825e-79
"ENSG00000272566",0.995690380005432,-2.50039571979675,1.038496330789,-2.40770780374069,0.0160530234473782,0.0521757200778581
"ENSG00000275649",2.79144612582517,-4.00506103451626,0.510378562123083,-7.8472360160582,4.2530640500269e-15,1.15724743669183e-13
"ENSG00000231944",0.642396856932588,2.33002044553037,1.03857423516703,2.24347992337365,0.0248658830879659,0.0750958950305163
"ENSG00000274516",0.748036275263883,-2.47760128051288,0.583681535434958,-4.24478269415628,2.18805361122839e-05,0.000150809424757766
"ENSG00000223815",3.23331277642217,2.00853831127009,0.346002624502764,5.80497998868226,6.43736918674993e-09,8.09528795030676e-08
